zAsset-Date Created-0	zAsset-Directory-Path-1	zAsset-Filename-2	zAddAssetAttr- Original Filename-3	zCldMast- Original Filename-4	zCldMast-Import Session ID- AirDrop-StillTesting-5	zAddAssetAttr- Syndication Identifier-SWY-Files-6	zAddAssetAttr-Shifted Location Valid-7	zAddAssetAttr-Shifted Location Data-HasDataIndicator-8	zAddAssetAttr-Shifted Location Data-bplist_postal_address-9	zAddAssetAttr-Reverse Location Is Valid-10	zAddAssetAttr-Reverse Location Data-HasDataIndicator-11	zAddAssetAttr-Reverse Location Data-bplist_postal_address-12	AAAzCldMastMedData-zOPT-13	zAddAssetAttr-Media Metadata Type-14	zAddAssetAttr-MediaMetadata= AAAzCldMastMedData-zPK-15	AAAzCldMastMedData-zPK= zAddAssetAttr&zCldMast-MediaMetaData-16	AAAzCldMastMedData-Data-HasDataIndicator-17	AAAzCldMastMedData-Data_plist_TIFF-18	AAAzCldMastMedData-Data_plist_Exif-18	AAAzCldMastMedData-Data_plist_GPS-18	AAAzCldMastMedData-Data_plist_IPTC-18	CldMasterzCldMastMedData-zOPT-19	zCldMast-Media Metadata Type-20	zCldMast-Media Metadata Key= zCldMastMedData.zPK-21	CMzCldMastMedData-zPK= zAddAssetAttr&zCldMast-MediaMetaData Key-22	CMzCldMastMedData-Data-HasDataIndicator-23	CMzCldMastMedData-Data_plist_TIFF-24	CMzCldMastMedData-Data_plist_Exif-24	CMzCldMastMedData-Data_plist_GPS-24	CMzCldMastMedData-Data_plist_IPTC-24	zSharePartic-Acceptance Status-25	zSharePartic-User ID-26	zSharePartic-zPK-27	zSharePartic-Email Address-28	zSharePartic-Phone Number-29	zSharePartic-Name_Components-HasDataIndicator-30	zSharePartic-Name_Components_Plist-31	zSharePartic-Is Current User-32	zSharePartic-Role-33	zShare-Preview_Data-DataIndicator-34	zShare-Preview_Data-BLOB_JPG-35	zAsset-zPK-36	zAddAssetAttr-zPK-37	zAsset-UUID = store.cloudphotodb-38	zAddAssetAttr-Master Fingerprint-39
2022-01-15 00:14:21	DCIM/100APPLE	IMG_0001.PNG	IMG_0001.PNG	IMG_0001.PNG			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	4	4	CMzCldMastMedData-Data_has_Plist	{'Orientation': 1}	{'PixelXDimension': 750, 'PixelYDimension': 1334, 'DateTimeOriginal': '2022:01:14 19:14:21', 'UserComment': 'Screenshot'}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		1	1	512AC7DF-C03E-477F-BB03-3E1A7A30A914	AWrsOOOiIN8xx0hwxGLpJhve9CEc
2022-01-15 14:08:59	DCIM/100APPLE	IMG_0002.HEIC	IMG_0002.HEIC	IMG_0002.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	1	1	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:09:00', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:09:00', 'LensMake': 'Apple', 'SubsecTimeOriginal': '017', 'BrightnessValue': 7.953424329501916, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 9.02843989769821, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:09:00', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [20], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.0019157088122605363, 'SubsecTimeDigitized': '017', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		2	2	A06451B9-B96D-4FDA-B03E-52E7B3C13D49	AT0DhsBBAA2xCrZmpCVP13Wx1YX7
2022-01-15 14:41:15	DCIM/100APPLE	IMG_0003.HEIC	IMG_0003.HEIC	IMG_0003.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	3	3	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:41:15', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:41:15', 'LensMake': 'Apple', 'SubsecTimeOriginal': '873', 'BrightnessValue': 1.623152330117019, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 4.029381905046282, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:41:15', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [64], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.0625, 'SubsecTimeDigitized': '873', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		3	3	CD9F98FF-DADF-4E5D-B441-2A43ECEF169D	ARLtg4orXfZJSJTBEQ6XFjOK4JxL
2022-01-15 14:42:13	DCIM/100APPLE	IMG_0004.HEIC	IMG_0004.HEIC	IMG_0004.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	6	6	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:42:14', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:42:14', 'LensMake': 'Apple', 'SubsecTimeOriginal': '331', 'BrightnessValue': 1.079792315680166, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 4.048448011330107, 'SubjectArea': [2843, 1070, 753, 756], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:42:14', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [100], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.058823529411764705, 'SubsecTimeDigitized': '331', 'Flash': 16, 'MeteringMode': 3}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		4	4	A807BC28-8F19-430C-9242-AE5C8E8BDFE3	ATEuc6ohWZR8+P3KoJrrJkc9Cnuv
2022-01-15 14:58:23	DCIM/100APPLE	IMG_0005.HEIC	IMG_0005.HEIC	IMG_0005.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	5	5	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:58:24', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:58:24', 'LensMake': 'Apple', 'SubsecTimeOriginal': '123', 'BrightnessValue': 6.465328177146793, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 6.968672566371682, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:58:24', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [20], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.008, 'SubsecTimeDigitized': '123', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		5	5	A2E5269E-429A-4B5A-9654-2D042F10889B	AcYaB1V/nq2dI4bBm/BurPDvJjCC
2022-01-15 14:58:24	DCIM/100APPLE	IMG_0006.HEIC	IMG_0006.HEIC	IMG_0006.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	2	2	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:58:24', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:58:24', 'LensMake': 'Apple', 'SubsecTimeOriginal': '391', 'BrightnessValue': 6.48004968172644, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 6.968672566371682, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:58:24', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [20], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.008, 'SubsecTimeDigitized': '391', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		6	6	09285FB7-0858-4602-9C21-31EFCF8FCA63	AasTN2UVXrK4r6EAz656VVEVlG8Y
2022-01-21 22:21:27	DCIM/100APPLE	IMG_0007.HEIC	IMG_0007.HEIC	IMG_0007.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	8	8	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:21 17:21:28', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:21 17:21:28', 'DigitalZoomRatio': 5.006622516556291, 'LensMake': 'Apple', 'BrightnessValue': 0.12292298472769535, 'SubsecTimeOriginal': '409', 'SensingMethod': 2, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 2.659066352680427, 'SubjectArea': [2006, 1507, 2216, 1332], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ExposureBiasValue': 0.0, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:21 17:21:28', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [100], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 141, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.16666666666666666, 'SubsecTimeDigitized': '409', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		7	7	C8259AE9-73D2-45D8-821A-4BF1566BABB2	AVLP4HHLLftl5VuXciRdrpOUx8Ji
2022-01-21 22:21:29	DCIM/100APPLE	IMG_0008.HEIC	IMG_0008.HEIC	IMG_0008.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	7	7	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:21 17:21:30', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:21 17:21:30', 'DigitalZoomRatio': 5.006622516556291, 'LensMake': 'Apple', 'BrightnessValue': 0.1814489816945427, 'SubsecTimeOriginal': '043', 'SensingMethod': 2, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 2.3834465687049033, 'SubjectArea': [2006, 1507, 2216, 1332], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ExposureBiasValue': 0.0, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:21 17:21:30', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [100], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 141, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.2, 'SubsecTimeDigitized': '043', 'Flash': 16, 'MeteringMode': 5}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		8	8	C2F8BA1C-173D-4E7D-94A4-B532AD514FC4	AaXXphDoOSJ04XbVFxQVrxlMVdsk
2022-02-06 21:30:16	DCIM/100APPLE	IMG_0009.HEIC	IMG_0009.HEIC	IMG_0009.HEIC			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	10	10	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:02:06 16:30:17', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:02:06 16:30:17', 'LensMake': 'Apple', 'Flash': 16, 'BrightnessValue': 5.2980497899291406, 'SubsecTimeOriginal': '531', 'SensingMethod': 2, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 6.909027361693629, 'SubjectArea': [1617, 1430, 753, 756], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ExposureBiasValue': -0.34894830904591695, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:02:06 16:30:17', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [32], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'CustomRendered': 2, 'ExifVersion': [2, 3, 2], 'FocalLenIn35mmFilm': 28, 'PixelXDimension': 4032, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.008333333333333333, 'SubsecTimeDigitized': '531', 'MeteringMode': 3}								zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		9	9	7BCCC703-A235-49E7-BE71-F8D0569B0825	AZFDRk3czfRrD4orjrzZUxQ7qKcG
2022-02-06 21:30:22	DCIM/100APPLE	IMG_0010.MOV	IMG_0010.MOV	IMG_0010.MOV			0-Shifted Location Not Valid-0	zAddAssetArrt-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL						AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	AVAssetProxy	9	9	CMzCldMastMedData-Data_has_Plist										zSharePartic-Name_Components_Empty-NULL				zShare-Preview_Data_Empty-NULL		10	10	6253304C-B0B7-408D-B01E-886A946B0523	AX+3k7HgYFoRvckKira7ODHj5GLy
